mL,mAU
0.004,-0.050944444
0.011,-0.049944444
0.018,-0.047944444
0.025,-0.047944444
0.032,-0.051944444
0.039,-0.056944444
0.046,-0.057944444
0.053,-0.054944444
0.06,-0.051944444
0.067,-0.050944444
0.074,-0.049944444
0.081,-0.049944444
0.088,-0.049944444
0.095,-0.050944444
0.102,-0.051944444
0.109,-0.051944444
0.116,-0.053944444
0.123,-0.051944444
0.13,-0.050944444
0.137,-0.053944444
0.144,-0.052944444
0.151,-0.052944444
0.158,-0.054944444
0.165,-0.052944444
0.172,-0.052944444
0.179,-0.052944444
0.186,-0.053944444
0.193,-0.052944444
0.2,-0.051944444
0.207,-0.052944444
0.214,-0.049944444
0.221,-0.048944444
0.228,-0.047944444
0.235,-0.048944444
0.242,-0.047944444
0.249,-0.050944444
0.256,-0.057944444
0.263,-0.056944444
0.27,-0.055944444
0.277,-0.055944444
0.284,-0.050944444
0.291,-0.048944444
0.298,-0.048944444
0.305,-0.048944444
0.312,-0.049944444
0.319,-0.049944444
0.327,-0.050944444
0.334,-0.051944444
0.341,-0.052944444
0.348,-0.051944444
0.355,-0.050944444
0.362,-0.050944444
0.369,-0.049944444
0.376,-0.047944444
0.383,-0.046944444
0.39,-0.047944444
0.397,-0.049944444
0.404,-0.050944444
0.411,-0.050944444
0.418,-0.049944444
0.425,-0.051944444
0.432,-0.051944444
0.439,-0.052944444
0.446,-0.052944444
0.453,-0.050944444
0.46,-0.049944444
0.467,-0.050944444
0.474,-0.049944444
0.481,-0.047944444
0.488,-0.046944444
0.495,-0.048944444
0.502,-0.050944444
0.509,-0.051944444
0.516,-0.048944444
0.523,-0.051944444
0.53,-0.055944444
0.537,-0.058944444
0.544,-0.059944444
0.551,-0.060944444
0.558,-0.058944444
0.565,-0.052944444
0.572,-0.050944444
0.579,-0.048944444
0.586,-0.046944444
0.593,-0.046944444
0.6,-0.047944444
0.607,-0.048944444
0.614,-0.048944444
0.621,-0.047944444
0.628,-0.046944444
0.635,-0.049944444
0.642,-0.050944444
0.649,-0.050944444
0.656,-0.048944444
0.663,-0.046944444
0.67,-0.047944444
0.677,-0.050944444
0.684,-0.051944444
0.691,-0.051944444
0.698,-0.049944444
0.705,-0.050944444
0.712,-0.051944444
0.719,-0.051944444
0.726,-0.050944444
0.734,-0.050944444
0.741,-0.051944444
0.748,-0.054944444
0.755,-0.056944444
0.762,-0.055944444
0.769,-0.053944444
0.776,-0.051944444
0.783,-0.053944444
0.79,-0.054944444
0.797,-0.054944444
0.804,-0.049944444
0.811,-0.047944444
0.818,-0.046944444
0.825,-0.048944444
0.832,-0.052944444
0.839,-0.056944444
0.846,-0.056944444
0.853,-0.054944444
0.86,-0.051944444
0.867,-0.048944444
0.874,-0.051944444
0.881,-0.052944444
0.888,-0.051944444
0.895,-0.051944444
0.902,-0.048944444
0.909,-0.046944444
0.916,-0.044944444
0.923,-0.046944444
0.93,-0.048944444
0.937,-0.049944444
0.944,-0.053944444
0.951,-0.055944444
0.958,-0.054944444
0.965,-0.053944444
0.972,-0.051944444
0.979,-0.050944444
0.986,-0.051944444
0.993,-0.050944444
1,-0.050944444
1.007,-0.052944444
1.014,-0.053944444
1.021,-0.052944444
1.028,-0.050944444
1.035,-0.049944444
1.042,-0.050944444
1.049,-0.052944444
1.056,-0.054944444
1.063,-0.055944444
1.07,-0.053944444
1.077,-0.050944444
1.084,-0.050944444
1.091,-0.051944444
1.098,-0.053944444
1.105,-0.053944444
1.112,-0.052944444
1.119,-0.051944444
1.126,-0.050944444
1.133,-0.051944444
1.141,-0.052944444
1.148,-0.053944444
1.155,-0.051944444
1.162,-0.049944444
1.169,-0.047944444
1.176,-0.045944444
1.183,-0.046944444
1.19,-0.047944444
1.197,-0.049944444
1.204,-0.047944444
1.211,-0.047944444
1.218,-0.049944444
1.225,-0.051944444
1.232,-0.052944444
1.239,-0.053944444
1.246,-0.053944444
1.253,-0.051944444
1.26,-0.050944444
1.267,-0.049944444
1.274,-0.049944444
1.281,-0.050944444
1.288,-0.051944444
1.295,-0.050944444
1.302,-0.049944444
1.309,-0.048944444
1.316,-0.050944444
1.323,-0.049944444
1.33,-0.049944444
1.337,-0.051944444
1.344,-0.052944444
1.351,-0.051944444
1.358,-0.050944444
1.365,-0.053944444
1.372,-0.055944444
1.379,-0.056944444
1.386,-0.058944444
1.393,-0.056944444
1.4,-0.055944444
1.407,-0.054944444
1.414,-0.055944444
1.421,-0.056944444
1.428,-0.056944444
1.435,-0.054944444
1.442,-0.052944444
1.449,-0.050944444
1.456,-0.051944444
1.463,-0.048944444
1.47,-0.048944444
1.477,-0.049944444
1.484,-0.050944444
1.491,-0.050944444
1.498,-0.051944444
1.505,-0.049944444
1.512,-0.051944444
1.519,-0.052944444
1.526,-0.051944444
1.533,-0.052944444
1.54,-0.051944444
1.547,-0.048944444
1.555,-0.050944444
1.562,-0.050944444
1.569,-0.049944444
1.576,-0.048944444
1.583,-0.046944444
1.59,-0.046944444
1.597,-0.047944444
1.604,-0.048944444
1.611,-0.051944444
1.618,-0.053944444
1.625,-0.052944444
1.632,-0.051944444
1.639,-0.049944444
1.646,-0.049944444
1.653,-0.050944444
1.66,-0.052944444
1.667,-0.054944444
1.674,-0.053944444
1.681,-0.054944444
1.688,-0.055944444
1.695,-0.054944444
1.702,-0.054944444
1.709,-0.054944444
1.716,-0.056944444
1.723,-0.056944444
1.73,-0.056944444
1.737,-0.056944444
1.744,-0.056944444
1.751,-0.054944444
1.758,-0.052944444
1.765,-0.050944444
1.772,-0.049944444
1.779,-0.049944444
1.786,-0.051944444
1.793,-0.055944444
1.8,-0.057944444
1.807,-0.056944444
1.814,-0.057944444
1.821,-0.057944444
1.828,-0.055944444
1.835,-0.056944444
1.842,-0.054944444
1.849,-0.052944444
1.856,-0.049944444
1.863,-0.049944444
1.87,-0.049944444
1.877,-0.049944444
1.884,-0.052944444
1.891,-0.052944444
1.898,-0.051944444
1.905,-0.054944444
1.912,-0.056944444
1.919,-0.056944444
1.926,-0.055944444
1.933,-0.054944444
1.94,-0.054944444
1.947,-0.056944444
1.954,-0.057944444
1.962,-0.058944444
1.969,-0.060944444
1.976,-0.058944444
1.983,-0.056944444
1.99,-0.053944444
1.997,-0.050944444
2.004,-0.051944444
2.011,-0.052944444
2.018,-0.054944444
2.025,-0.056944444
2.032,-0.056944444
2.039,-0.055944444
2.046,-0.057944444
2.053,-0.056944444
2.06,-0.054944444
2.067,-0.052944444
2.074,-0.051944444
2.081,-0.050944444
2.088,-0.050944444
2.095,-0.054944444
2.102,-0.057944444
2.109,-0.060944444
2.116,-0.059944444
2.123,-0.054944444
2.13,-0.051944444
2.137,-0.050944444
2.144,-0.051944444
2.151,-0.053944444
2.158,-0.055944444
2.165,-0.057944444
2.172,-0.056944444
2.179,-0.055944444
2.186,-0.053944444
2.193,-0.052944444
2.2,-0.050944444
2.207,-0.048944444
2.214,-0.048944444
2.221,-0.049944444
2.228,-0.050944444
2.235,-0.051944444
2.242,-0.053944444
2.249,-0.054944444
2.256,-0.052944444
2.263,-0.055944444
2.27,-0.056944444
2.277,-0.057944444
2.284,-0.056944444
2.291,-0.054944444
2.298,-0.052944444
2.305,-0.052944444
2.312,-0.051944444
2.319,-0.051944444
2.326,-0.054944444
2.333,-0.054944444
2.34,-0.054944444
2.347,-0.054944444
2.354,-0.055944444
2.361,-0.055944444
2.369,-0.055944444
2.376,-0.051944444
2.383,-0.049944444
2.39,-0.048944444
2.397,-0.049944444
2.404,-0.050944444
